date_time,origin,destination,distance_km,weather,is_weekend,is_rush_hour,traffic_volume,temperature_c,average_speed_kmh,travel_time_minutes,delay_minutes
2023-01-01 00:00:00,Harapan Raya,Sudirman,3.8,Cerah,1,0,121,34.4,50.0,4.56,0.0
2023-01-01 00:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,146,34.4,50.0,5.4,0.0
2023-01-01 00:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,163,31.5,50.0,6.24,0.0
2023-01-01 00:00:00,Pandau,Simpang Tiga,6.0,Hujan Lebat,1,0,192,25.1,33.98,10.59,3.39
2023-01-01 00:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,0,226,30.0,48.17,8.72,0.32
2023-01-01 00:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,241,29.4,48.39,10.54,0.34
2023-01-01 01:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,54,28.3,47.66,4.78,0.22
2023-01-01 01:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,62,31.1,50.0,5.4,0.0
2023-01-01 01:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,79,34.0,50.0,6.24,0.0
2023-01-01 01:00:00,Pandau,Simpang Tiga,6.0,Hujan Lebat,1,0,97,25.4,30.51,11.8,4.6
2023-01-01 01:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,0,107,29.7,48.84,8.6,0.2
2023-01-01 01:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,120,28.5,48.73,10.47,0.27
2023-01-01 02:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,56,28.5,48.28,4.72,0.16
2023-01-01 02:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Hujan Ringan,1,0,70,27.4,40.4,6.68,1.28
2023-01-01 02:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,84,31.6,50.0,6.24,0.0
2023-01-01 02:00:00,Pandau,Simpang Tiga,6.0,Mendung,1,0,95,30.9,48.61,7.41,0.21
2023-01-01 02:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,0,105,29.3,47.82,8.78,0.38
2023-01-01 02:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,119,29.2,47.17,10.81,0.61
2023-01-01 03:00:00,Harapan Raya,Sudirman,3.8,Hujan Ringan,1,0,55,26.1,43.17,5.28,0.72
2023-01-01 03:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Hujan Ringan,1,0,70,26.3,41.43,6.52,1.12
2023-01-01 03:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,79,34.7,50.0,6.24,0.0
2023-01-01 03:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,98,31.2,50.0,7.2,0.0
2023-01-01 03:00:00,Pasar Pusat,Rumbai,7.0,Cerah,1,0,114,33.2,50.0,8.4,0.0
2023-01-01 03:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,0,134,33.3,50.0,10.2,0.0
2023-01-01 04:00:00,Harapan Raya,Sudirman,3.8,Hujan Ringan,1,0,107,27.2,41.49,5.5,0.94
2023-01-01 04:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,129,33.9,50.0,5.4,0.0
2023-01-01 04:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,158,34.1,50.0,6.24,0.0
2023-01-01 04:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,186,31.8,50.0,7.2,0.0
2023-01-01 04:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,0,196,26.4,41.96,10.01,1.61
2023-01-01 04:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,0,246,33.4,50.0,10.2,0.0
2023-01-01 05:00:00,Harapan Raya,Sudirman,3.8,Hujan Ringan,1,0,315,27.5,41.43,5.5,0.94
2023-01-01 05:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,432,31.0,50.0,5.4,0.0
2023-01-01 05:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,467,31.5,50.0,6.24,0.0
2023-01-01 05:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,575,33.5,50.0,7.2,0.0
2023-01-01 05:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,0,648,26.9,42.77,9.82,1.42
2023-01-01 05:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,0,765,32.9,50.0,10.2,0.0
2023-01-01 06:00:00,Harapan Raya,Sudirman,3.8,Hujan Ringan,1,1,1080,27.7,17.37,13.12,8.56
2023-01-01 06:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,1,1201,34.6,23.26,11.61,6.21
2023-01-01 06:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,1,1326,33.3,26.71,11.68,5.44
2023-01-01 06:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,1,1666,34.9,25.56,14.09,6.89
2023-01-01 06:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,1,2013,27.5,18.34,22.9,14.5
2023-01-01 06:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,1,2318,32.2,25.36,20.11,9.91
2023-01-01 07:00:00,Harapan Raya,Sudirman,3.8,Cerah,1,1,1196,34.7,24.97,9.13,4.57
2023-01-01 07:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,1,1414,32.5,25.28,10.68,5.28
2023-01-01 07:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,1,1557,33.4,26.97,11.57,5.33
2023-01-01 07:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,1,1932,32.9,25.5,14.12,6.92
2023-01-01 07:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,1,2430,28.6,23.22,18.08,9.68
2023-01-01 07:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,1,2833,32.0,26.56,19.2,9.0
2023-01-01 08:00:00,Harapan Raya,Sudirman,3.8,Cerah,1,1,1193,34.1,25.24,9.03,4.47
2023-01-01 08:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,1,1265,34.5,23.07,11.71,6.31
2023-01-01 08:00:00,Panam (UNRI),Simpang SKA,5.2,Hujan Ringan,1,1,1555,27.6,15.55,20.07,13.83
2023-01-01 08:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,1,1826,34.1,26.37,13.65,6.45
2023-01-01 08:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,1,2227,30.4,21.64,19.41,11.01
2023-01-01 08:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,1,2676,31.0,23.87,21.36,11.16
2023-01-01 09:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,1,1080,28.5,24.31,9.38,4.82
2023-01-01 09:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,1,1283,31.4,24.22,11.15,5.75
2023-01-01 09:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,1,1287,34.9,36.66,8.51,2.27
2023-01-01 09:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,1,1571,33.5,26.21,13.74,6.54
2023-01-01 09:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,1,1918,28.8,22.64,18.55,10.15
2023-01-01 09:00:00,Simpang SKA,Bandara SSK II,8.5,Cerah,1,1,2201,33.8,23.45,21.75,11.55
2023-01-01 10:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,794,29.9,32.66,6.98,2.42
2023-01-01 10:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,942,31.9,35.52,7.6,2.2
2023-01-01 10:00:00,Panam (UNRI),Simpang SKA,5.2,Cerah,1,0,986,33.9,45.32,6.88,0.64
2023-01-01 10:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,1242,34.0,35.81,10.05,2.85
2023-01-01 10:00:00,Pasar Pusat,Rumbai,7.0,Mendung,1,0,1517,28.5,32.43,12.95,4.55
2023-01-01 10:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,1792,30.1,32.05,15.91,5.71
2023-01-01 11:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,774,30.7,33.04,6.9,2.34
2023-01-01 11:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,961,34.3,35.46,7.61,2.21
2023-01-01 11:00:00,Panam (UNRI),Simpang SKA,5.2,Mendung,1,0,1158,28.4,30.5,10.23,3.99
2023-01-01 11:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,1359,34.2,34.48,10.44,3.24
2023-01-01 11:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,0,1400,26.9,38.09,11.03,2.63
2023-01-01 11:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,1801,30.4,32.39,15.74,5.54
2023-01-01 12:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,929,29.4,31.47,7.25,2.69
2023-01-01 12:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,1104,34.4,35.06,7.7,2.3
2023-01-01 12:00:00,Panam (UNRI),Simpang SKA,5.2,Mendung,1,0,1195,30.2,32.88,9.49,3.25
2023-01-01 12:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,1476,32.6,34.12,10.55,3.35
2023-01-01 12:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,0,1513,27.2,27.37,15.35,6.95
2023-01-01 12:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,2129,29.9,22.62,22.55,12.35
2023-01-01 13:00:00,Harapan Raya,Sudirman,3.8,Mendung,1,0,956,30.6,22.07,10.33,5.77
2023-01-01 13:00:00,Jl. Sudirman (MTQ),Kantor Gubernur,4.5,Cerah,1,0,1172,32.9,25.15,10.73,5.33
2023-01-01 13:00:00,Panam (UNRI),Simpang SKA,5.2,Mendung,1,0,1279,28.9,34.01,9.17,2.93
2023-01-01 13:00:00,Pandau,Simpang Tiga,6.0,Cerah,1,0,1297,33.8,33.74,10.67,3.47
2023-01-01 13:00:00,Pasar Pusat,Rumbai,7.0,Hujan Ringan,1,0,1575,27.8,28.13,14.93,6.53
2023-01-01 13:00:00,Simpang SKA,Bandara SSK II,8.5,Mendung,1,0,2178,29.2,25.46,20.03,9.83
2023-01-01 14:00:00,Harapan Raya,Sudirman,3.8,Cerah,1,0,927,33.3,34.75,6.56,2.0
